0 1 2 3 4 5 6 7 8 9 10 11 12
2 5 6 7 8 9 11 12 14 16 17 18 20
2 5 6 7 8 9 11 12 14 16 17 18 21
2 5 6 7 8 9 11 12 14 16 17 19 20
2 5 6 7 8 9 11 12 14 16 17 19 21
2 5 6 7 8 9 11 12 14 16 17 20 21
2 5 6 7 8 9 11 12 14 16 18 19 20
2 5 6 7 8 9 11 12 14 16 18 19 21
2 5 6 7 8 9 11 12 14 16 18 20 21
2 5 6 7 8 9 11 12 14 16 19 20 21
2 5 6 7 8 9 11 12 14 17 18 19 20
2 5 6 7 8 9 11 12 14 17 18 19 21
2 5 6 7 8 9 11 12 14 17 18 20 21
2 5 6 7 8 9 11 12 14 17 19 20 21
2 5 6 7 8 9 11 12 14 18 19 20 21
2 5 6 7 8 9 11 12 15 16 17 18 19
2 5 6 7 8 9 11 12 15 16 17 18 20
2 5 6 7 8 9 11 12 15 16 17 18 21
2 5 6 7 8 9 11 12 15 16 17 19 20
2 5 6 7 8 9 11 12 15 16 17 19 21
2 5 6 7 8 9 11 12 15 16 17 20 21
2 5 6 7 8 9 11 12 15 16 18 19 20
2 5 6 7 8 9 11 12 15 16 18 19 21
2 5 6 7 8 9 11 12 15 16 18 20 21
2 5 6 7 8 9 11 12 15 16 19 20 21
2 5 6 7 8 9 11 12 15 17 18 19 20
2 5 6 7 8 9 11 12 15 17 18 19 21
2 5 6 7 8 9 11 12 15 17 18 20 21
2 5 6 7 8 9 11 12 15 17 19 20 21
2 5 6 7 8 9 11 12 15 18 19 20 21
2 5 6 7 8 9 11 12 16 17 18 19 20
2 5 6 7 8 9 11 12 16 17 18 19 21
2 5 6 7 8 9 11 12 16 17 18 20 21
2 5 6 7 8 9 11 12 16 17 19 20 21
2 5 6 7 8 9 11 12 16 18 19 20 21
2 5 6 7 8 9 11 12 17 18 19 20 21
2 5 6 7 8 9 11 13 14 15 16 17 18
2 5 6 7 8 9 11 13 14 15 16 17 19
2 5 6 7 8 9 11 13 14 15 16 17 20
2 5 6 7 8 9 11 13 14 15 16 17 21
2 5 6 7 8 9 11 13 14 15 16 18 19
2 5 6 7 8 9 11 13 14 15 16 18 20
2 5 6 7 8 9 11 13 14 15 16 18 21
2 5 6 7 8 9 11 13 14 15 16 19 20
2 5 6 7 8 9 11 13 14 15 16 19 21
2 5 6 7 8 9 11 13 14 15 16 20 21
2 5 6 7 8 9 11 13 14 15 17 18 19
2 5 6 7 8 9 11 13 14 15 17 18 20
2 5 6 7 8 9 11 13 14 15 17 18 21
2 5 6 7 8 9 11 13 14 15 17 19 20
2 5 6 7 8 9 11 13 14 15 17 19 21
2 5 6 7 8 9 11 13 14 15 17 20 21
2 5 6 7 8 9 11 13 14 15 18 19 20
2 5 6 7 8 9 11 13 14 15 18 19 21
2 5 6 7 8 9 11 13 14 15 18 20 21
2 5 6 7 8 9 11 13 14 15 19 20 21
2 5 6 7 8 9 11 13 14 16 17 18 19
2 5 6 7 8 9 11 13 14 16 17 18 20
2 5 6 7 8 9 11 13 14 16 17 18 21
2 5 6 7 8 9 11 13 14 16 17 19 20
2 5 6 7 8 9 11 13 14 16 17 19 21
2 5 6 7 8 9 11 13 14 16 17 20 21
2 5 6 7 8 9 11 13 14 16 18 19 20
2 5 6 7 8 9 11 13 14 16 18 19 21
2 5 6 7 8 9 11 13 14 16 18 20 21
2 5 6 7 8 9 11 13 14 16 19 20 21
2 5 6 7 8 9 11 13 14 17 18 19 20
2 5 6 7 8 9 11 13 14 17 18 19 21
2 5 6 7 8 9 11 13 14 17 18 20 21
2 5 6 7 8 9 11 13 14 17 19 20 21
2 5 6 7 8 9 11 13 14 18 19 20 21
2 5 6 7 8 9 11 13 15 16 17 18 19
2 5 6 7 8 9 11 13 15 16 17 18 20
2 5 6 7 8 9 11 13 15 16 17 18 21
2 5 6 7 8 9 11 13 15 16 17 19 20
2 5 6 7 8 9 11 13 15 16 17 19 21
2 5 6 7 8 9 11 13 15 16 17 20 21
2 5 6 7 8 9 11 13 15 16 18 19 20
2 5 6 7 8 9 11 13 15 16 18 19 21
2 5 6 7 8 9 11 13 15 16 18 20 21
2 5 6 7 8 9 11 13 15 16 19 20 21
2 5 6 7 8 9 11 13 15 17 18 19 20
2 5 6 7 8 9 11 13 15 17 18 19 21
2 5 6 7 8 9 11 13 15 17 18 20 21
